repoId,issueId,I_url,I_createdAt,I_authorName,I_authorAssociation,I_authorGender,I_state,I_closedAt,I_numberOfComments,I_numberOfAssignees,I_numberOfParticipants,I_assignmentActorName,I_firstAssigneeName,I_timeUntilFirstComment,I_meanCommentInterval,I_timeUntilFirstAssignment,I_timeUntilClosed,I_age,I_labeledAsSecurityIssue,I_status,I_clear,I_info,I_pullRequest,I_roleOfAuthorInPR,I_numberOfCommentsInPR,I_numberOfParticipantsInPR,I_prDiscussionChallenge
MDEwOlJlcG9zaXRvcnk0NDIzNDM2OA==,MDU6SXNzdWUxMTUyNzU5MDA=,https://github.com/zalando/nakadi/issues/16,11/5/2015 12:43:17,Vyacheslav Stepanov,CONTRIBUTOR,male,CLOSED,1/28/2016 23:15:42,1,0,1, , ,36.1921064814815, , ,84.4388888888889,84.4388888888889,1,REJECTED,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk0NDUxNjg4Ng==,MDU6SXNzdWUyODMxNzAwMDU=,https://github.com/canoo/dolphin-platform/issues/782,12/19/2017 10:08:37,Jörg Hälker,NONE,male,CLOSED,12/20/2017 12:40:14,1,1,1,Hendrik Ebbers,Hendrik Ebbers,.140497685185185, ,.152083333333333,1.10486111111111,1.10486111111111,1,ACCEPTED,Yes,Documentation,Single Review,No,17,2,Medium
MDEwOlJlcG9zaXRvcnk0NDUxNjg4Ng==,MDU6SXNzdWUyODM0OTI5MDQ=,https://github.com/canoo/dolphin-platform/issues/787,12/20/2017 9:05:10,Hendrik Ebbers,CONTRIBUTOR,male,CLOSED,2/8/2018 4:48:01,1,2,1,Hendrik Ebbers,Hendrik Ebbers,15.0667939814815, ,0,49.8208333333333,49.8208333333333,1,ACCEPTED,Yes,None,Single Review,Reviewer,17,2,Medium
MDEwOlJlcG9zaXRvcnk0NTA2OTM4,MDU6SXNzdWUxMzgxODk4NDM=,https://github.com/kitodo/kitodo-production/issues/456,3/3/2016 14:17:32,Stefan Weil,MEMBER,male,OPEN, ,6,0,4, , ,.0307407407407407,185.964027777778, , ,1482.40416666667,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk0ODE4MTcyOA==,MDU6SXNzdWUyOTAyMDc1NTM=,https://github.com/vector-im/riot-android/issues/1921,1/20/2018 17:17:37,Coffee,NONE,unknown,CLOSED,3/8/2018 9:45:59,3,1,3, , ,1.59413194444444,17.6614583333333,34.0118055555556,46.6861111111111,46.6861111111111,1,ACCEPTED,Yes,None,Single Review,No,1,1,Low
MDEwOlJlcG9zaXRvcnk0OTg5Njg4MQ==,MDU6SXNzdWUyOTU1MTUzMDM=,https://github.com/marklogic/marklogic-data-hub/issues/724,2/8/2018 13:39:37, ,MEMBER,unknown,CLOSED,6/15/2019 19:11:10,3,0,3, , ,15.0902430555556,238.569791666667, ,492.229861111111,492.229861111111,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDcwNDM=,https://github.com/elastic/elasticsearch/issues/29703,2/10/2017 17:26:18,Elastic Machine,COLLABORATOR,unknown,CLOSED,9/24/2019 13:54:49,2,1,2,Yogesh Gaikwad,Yogesh Gaikwad,387.218622685185,501.170138888889,888.389583333333,955.852777777778,955.852777777778,1,ACCEPTED,Yes,None,Multiple Reviews,No,16,3,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDcwNDg=,https://github.com/elastic/elasticsearch/issues/29704,2/10/2017 17:26:30,Elastic Machine,COLLABORATOR,unknown,OPEN, ,1,0,1, , ,2.31481481481482E-005, , , ,1138.27291666667,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDczNDY=,https://github.com/elastic/elasticsearch/issues/29732,2/10/2017 17:54:36,Elastic Machine,COLLABORATOR,unknown,OPEN, ,2,0,1,Elastic Machine,Yogesh Gaikwad,335.94869212963,2.6,438.306944444444, ,1138.25347222222,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDc0Njc=,https://github.com/elastic/elasticsearch/issues/29744,2/10/2017 17:59:21,Elastic Machine,COLLABORATOR,unknown,OPEN, ,4,0,1, , ,1.15740740740741E-005,0, , ,1138.25,1,PENDING,Yes,None,No, , , , 
